#HealthTopic,Population,Indicator,Unit,Time,RegionCode,RegionName,NumValue,TxtValue
Influenza,Influenza virus detections sentinel,Positive specimens,N,2009-W46,NO,Norway,18,
Influenza,Influenza virus detections sentinel,Positive specimens,N,2009-W46,PL,Poland,29,
Influenza,Influenza virus detections sentinel,Positive specimens,N,2009-W46,PT,Portugal,17,
Influenza,Influenza virus detections sentinel,Positive specimens,N,2009-W46,RO,Romania,46,
Influenza,Influenza virus detections sentinel,Positive specimens,N,2009-W46,SE,Sweden,70,
Influenza,Influenza virus detections sentinel,Positive specimens,N,2009-W46,SI,Slovenia,81,
Influenza,Influenza virus detections sentinel,Positive specimens,N,2009-W46,UKG13182,England,86,
Influenza,Influenza virus detections sentinel,Positive specimens,N,2009-W46,UKM,Scotland,224,
Influenza,Influenza virus detections sentinel,Positive specimens,N,2009-W46,UKN,Northern Ireland,27,
Influenza,Influenza virus detections sentinel,Positive specimens,N,2009-W47,AT,Austria,50,
Influenza,Influenza virus detections sentinel,Positive specimens,N,2009-W47,BE,Belgium,60,
Influenza,Influenza virus detections sentinel,Positive specimens,N,2009-W47,BG,Bulgaria,0,
Influenza,Influenza virus detections sentinel,Positive specimens,N,2009-W47,CZ,Czech Republic,36,
Influenza,Influenza virus detections sentinel,Positive specimens,N,2009-W47,DE,Germany,0,
Influenza,Influenza virus detections sentinel,Positive specimens,N,2009-W47,DK,Denmark,17,
Influenza,Influenza virus detections sentinel,Positive specimens,N,2009-W47,EE,Estonia,48,
Influenza,Influenza virus detections sentinel,Positive specimens,N,2009-W47,EL,Greece,41,
Influenza,Influenza virus detections sentinel,Positive specimens,N,2009-W47,ES,Spain,496,
Influenza,Influenza virus detections sentinel,Positive specimens,N,2009-W47,EU31_UKX,EU/EEA,2143,
Influenza,Influenza virus detections sentinel,Positive specimens,N,2009-W47,FR,France,509,
Influenza,Influenza virus detections sentinel,Positive specimens,N,2009-W47,HU,Hungary,39,
Influenza,Influenza virus detections sentinel,Positive specimens,N,2009-W47,IE,Ireland,56,
Influenza,Influenza virus detections sentinel,Positive specimens,N,2009-W47,IS,Iceland,7,
Influenza,Influenza virus detections sentinel,Positive specimens,N,2009-W47,IT,Italy,34,
Influenza,Influenza virus detections sentinel,Positive specimens,N,2009-W47,LT,Lithuania,29,
Influenza,Influenza virus detections sentinel,Positive specimens,N,2009-W47,LU,Luxembourg,15,
Influenza,Influenza virus detections sentinel,Positive specimens,N,2009-W47,LV,Latvia,0,
Influenza,Influenza virus detections sentinel,Positive specimens,N,2009-W47,NL,Netherlands,46,
Influenza,Influenza virus detections sentinel,Positive specimens,N,2009-W47,NO,Norway,13,
Influenza,Influenza virus detections sentinel,Positive specimens,N,2009-W47,PL,Poland,86,
Influenza,Influenza virus detections sentinel,Positive specimens,N,2009-W47,PT,Portugal,39,
Influenza,Influenza virus detections sentinel,Positive specimens,N,2009-W47,RO,Romania,39,
Influenza,Influenza virus detections sentinel,Positive specimens,N,2009-W47,SE,Sweden,55,
Influenza,Influenza virus detections sentinel,Positive specimens,N,2009-W47,SI,Slovenia,78,
Influenza,Influenza virus detections sentinel,Positive specimens,N,2009-W47,UKG13182,England,115,
Influenza,Influenza virus detections sentinel,Positive specimens,N,2009-W47,UKM,Scotland,238,
Influenza,Influenza virus detections sentinel,Positive specimens,N,2009-W47,UKN,Northern Ireland,12,
Influenza,Influenza virus detections sentinel,Positive specimens,N,2009-W48,AT,Austria,28,
Influenza,Influenza virus detections sentinel,Positive specimens,N,2009-W48,BE,Belgium,39,
Influenza,Influenza virus detections sentinel,Positive specimens,N,2009-W48,BG,Bulgaria,0,
Influenza,Influenza virus detections sentinel,Positive specimens,N,2009-W48,CZ,Czech Republic,39,
Influenza,Influenza virus detections sentinel,Positive specimens,N,2009-W48,DE,Germany,101,
Influenza,Influenza virus detections sentinel,Positive specimens,N,2009-W48,DK,Denmark,8,
Influenza,Influenza virus detections sentinel,Positive specimens,N,2009-W48,EE,Estonia,42,
Influenza,Influenza virus detections sentinel,Positive specimens,N,2009-W48,EL,Greece,58,
Influenza,Influenza virus detections sentinel,Positive specimens,N,2009-W48,ES,Spain,312,
Influenza,Influenza virus detections sentinel,Positive specimens,N,2009-W48,EU31_UKX,EU/EEA,1955,
Influenza,Influenza virus detections sentinel,Positive specimens,N,2009-W48,FR,France,566,
Influenza,Influenza virus detections sentinel,Positive specimens,N,2009-W48,HU,Hungary,88,
Influenza,Influenza virus detections sentinel,Positive specimens,N,2009-W48,IE,Ireland,30,
Influenza,Influenza virus detections sentinel,Positive specimens,N,2009-W48,IS,Iceland,1,
Influenza,Influenza virus detections sentinel,Positive specimens,N,2009-W48,IT,Italy,36,
Influenza,Influenza virus detections sentinel,Positive specimens,N,2009-W48,LT,Lithuania,19,
Influenza,Influenza virus detections sentinel,Positive specimens,N,2009-W48,LU,Luxembourg,30,
Influenza,Influenza virus detections sentinel,Positive specimens,N,2009-W48,LV,Latvia,8,
Influenza,Influenza virus detections sentinel,Positive specimens,N,2009-W48,NL,Netherlands,21,
Influenza,Influenza virus detections sentinel,Positive specimens,N,2009-W48,NO,Norway,7,
Influenza,Influenza virus detections sentinel,Positive specimens,N,2009-W48,PL,Poland,73,
Influenza,Influenza virus detections sentinel,Positive specimens,N,2009-W48,PT,Portugal,11,
Influenza,Influenza virus detections sentinel,Positive specimens,N,2009-W48,RO,Romania,73,
Influenza,Influenza virus detections sentinel,Positive specimens,N,2009-W48,SE,Sweden,29,
Influenza,Influenza virus detections sentinel,Positive specimens,N,2009-W48,SI,Slovenia,63,
Influenza,Influenza virus detections sentinel,Positive specimens,N,2009-W48,SK,Slovakia,9,
Influenza,Influenza virus detections sentinel,Positive specimens,N,2009-W48,UKG13182,England,129,
Influenza,Influenza virus detections sentinel,Positive specimens,N,2009-W48,UKM,Scotland,154,
Influenza,Influenza virus detections sentinel,Positive specimens,N,2009-W48,UKN,Northern Ireland,11,
Influenza,Influenza virus detections sentinel,Positive specimens,N,2009-W49,AT,Austria,27,
Influenza,Influenza virus detections sentinel,Positive specimens,N,2009-W49,BE,Belgium,30,
Influenza,Influenza virus detections sentinel,Positive specimens,N,2009-W49,BG,Bulgaria,0,
Influenza,Influenza virus detections sentinel,Positive specimens,N,2009-W49,CZ,Czech Republic,56,
Influenza,Influenza virus detections sentinel,Positive specimens,N,2009-W49,DE,Germany,85,
Influenza,Influenza virus detections sentinel,Positive specimens,N,2009-W49,DK,Denmark,0,
Influenza,Influenza virus detections sentinel,Positive specimens,N,2009-W49,EE,Estonia,29,
Influenza,Influenza virus detections sentinel,Positive specimens,N,2009-W49,EL,Greece,44,
Influenza,Influenza virus detections sentinel,Positive specimens,N,2009-W49,ES,Spain,217,
Influenza,Influenza virus detections sentinel,Positive specimens,N,2009-W49,EU31_UKX,EU/EEA,1451,
Influenza,Influenza virus detections sentinel,Positive specimens,N,2009-W49,FR,France,497,
Influenza,Influenza virus detections sentinel,Positive specimens,N,2009-W49,HU,Hungary,66,
Influenza,Influenza virus detections sentinel,Positive specimens,N,2009-W49,IE,Ireland,12,
Influenza,Influenza virus detections sentinel,Positive specimens,N,2009-W49,IS,Iceland,1,
Influenza,Influenza virus detections sentinel,Positive specimens,N,2009-W49,IT,Italy,9,
Influenza,Influenza virus detections sentinel,Positive specimens,N,2009-W49,LT,Lithuania,18,
